;_id;zip;scrapedate;Boligareal;Vgtet_areal;Grundareal;Rum_vrelser;Antal_plan;Bygger;Energimrke;Ejerudgifter_pr__md_;Pris_m_;Liggetid;Tidligere_salgspris;Udbetaling;Brutto_ekskl__ejerudgifter;Netto_ekskl__ejerudgifter;Ombygget;Klder;Prisudvikling;Boligydelse;Forbrugsafh__forhold;Teknisk_pris;pris
1;61103979;6200;12-08-2022;93;101;408;65;2;1926;NA;940;5396;413;NA;30000;2678;2198;NA;NA;NA;NA;NA;NA;544996
2;61104290;6200;12-08-2022;106;115;733;32;1;1967;NA;NA;NA;NA;NA;35000;3731;2995;NA;NA;NA;NA;NA;NA;NA
3;61104218;6200;12-08-2022;108;146;681;31;2;1963;NA;1885;8185;102;NA;60000;5976;4909;1974;84;NA;NA;NA;NA;1195010
4;61104174;6200;12-08-2022;171;172;723;42;2;1927;NA;1159;6948;188;NA;60000;6384;5126;1990;NA;27;NA;NA;NA;1195056
5;61104296;6200;12-08-2022;153;132;163;42;3;1780;NA;1381;7538;124;NA;50000;5320;4269;1973;16;9;NA;NA;NA;995016
6;61104280;6200;12-08-2022;170;183;1888;64;NA;1968;NA;1581;6530;98;NA;60000;5964;4898;NA;NA;NA;NA;NA;NA;1194990
7;61103695;6200;12-08-2022;136;202;1162;64;3;1953;NA;1446;7896;143;NA;80000;9232;7275;1965;87;3;NA;NA;NA;1594992
8;61104008;6200;12-08-2022;153;167;872;53;3;1950;NA;NA;NA;NA;NA;40000;3858;3095;1979;5;NA;NA;NA;NA;NA
9;61104186;6200;12-08-2022;185;216;712;54;2;1928;NA;1325;6921;172;NA;75000;8658;6823;NA;NA;6;NA;NA;NA;1494936
10;94401805;9440;12-08-2022;202;200;5500;53;2;1887;NA;1187;1995;2093;NA;25000;2146;1717;NA;NA;19;NA;NA;NA;399000
11;94403523;9440;12-08-2022;180;223;736;54;2;1900;NA;1814;2220;147;NA;25000;2674;2137;NA;NA;23;NA;NA;NA;495060
12;37104388;3720;12-08-2022;105;107;261;42;3;1914;NA;1381;6495;98;NA;35000;3726;2975;1980;10;NA;NA;NA;NA;694965
13;91303915;9620;12-08-2022;95;145;505;32;3;1942;NA;1205;3434;477;NA;25000;2497;2051;NA;65;NA;NA;NA;NA;497930
14;91303766;9620;12-08-2022;138;145;895;54;1;1963;NA;1342;2745;623;NA;25000;2151;1729;NA;NA;20;NA;NA;NA;398025
15;91303303;9600;12-08-2022;83;119;704;32;2;1960;NA;1062;5874;794;NA;35000;3903;3107;NA;83;10;NA;NA;NA;699006
16;91304093;9600;12-08-2022;188;194;2088;53;2;1905;NA;NA;NA;NA;NA;25000;2664;2118;1985;NA;NA;NA;NA;NA;NA
17;91302586;9600;12-08-2022;112;178;3142;43;3;1925;NA;1361;3904;1654;NA;35000;3749;2984;1977;6;18;NA;NA;NA;694912
18;54903718;5560;12-08-2022;188;220;10000;64;1;1862;NA;1629;7705;129;NA;85000;8244;6741;2006;NA;NA;NA;NA;NA;1695100
19;54903895;5560;12-08-2022;232;242;1017;54;1;1978;NA;2580;9897;136;NA;120000;11573;9463;2004;50;NA;NA;NA;NA;2395074
20;56102878;5560;12-08-2022;77;90;263;32;3;1880;NA;NA;NA;NA;NA;25000;2674;2136;NA;30;NA;NA;NA;NA;NA
21;55003403;5560;12-08-2022;229;256;3655;74;1;2002;NA;2933;14043;86;NA;180000;20716;16239;2010;21;3;NA;NA;NA;3595008
22;54903894;5560;12-08-2022;164;NA;735;43;2;1964;NA;1681;6067;105;NA;50000;4954;4051;1975;NA;NA;NA;NA;NA;NA
23;54903778;5560;12-08-2022;116;126;600;43;1;1963;NA;1245;6310;301;NA;40000;3905;3202;1972;NA;11;NA;NA;NA;795060
24;54903869;5560;12-08-2022;165;189;714;75;1;1964;NA;1751;10026;161;NA;95000;10062;8041;NA;50;5;NA;NA;NA;1894914
25;50303286;5320;12-08-2022;287;291;1346;1210;2;1900;NA;2634;13729;449;NA;2,00E+05;21285;17155;2006;NA;11;NA;NA;NA;3995139
26;50004969;5320;12-08-2022;150;146;356;65;2;2001;NA;1698;12295;138;NA;90000;8879;7317;NA;NA;5;NA;NA;NA;1795070
27;50005113;5320;12-08-2022;143;148;820;54;1;1965;NA;2129;14831;157;NA;110000;11701;9430;1977;NA;8;NA;NA;NA;2194988
28;67701742;6753;12-08-2022;205;223;5586;66;1;1840;NA;1866;5601;164;NA;65000;6345;5235;1976;NA;NA;NA;NA;NA;1249023
29;68007935;6753;12-08-2022;112;125;1467;43;3;1959;NA;1761;6384;318;NA;40000;4310;3477;NA;32;6;NA;NA;NA;798000
30;67701697;6753;12-08-2022;130;142;805;44;1;1977;NA;1495;5951;93;NA;45000;4501;3631;NA;NA;11;NA;NA;NA;845042
31;67701683;6753;12-08-2022;128;NA;606;44;2;1930;NA;NA;NA;NA;NA;25000;928;749;NA;NA;NA;NA;NA;NA;NA
32;67701548;6753;12-08-2022;128;133;711;43;1;1963;NA;1429;6353;525;NA;45000;4297;3544;NA;NA;12;NA;NA;NA;844949
33;67701662;6753;12-08-2022;113;116;780;43;1;1973;NA;1533;6897;283;NA;40000;4306;3473;NA;NA;1;NA;NA;NA;800052
34;67701630;6753;12-08-2022;96;108;962;32;2;1900;NA;1394;3657;359;NA;25000;1955;1611;NA;NA;NA;NA;NA;NA;394956
35;62304086;6534;12-08-2022;280;306;2053;75;1;1940;NA;1675;2925;409;NA;45000;4229;3517;1985;66;10;NA;NA;NA;895050
36;25603354;2620;12-08-2022;108;111;446;32;1;1986;NA;4416;34216;93;NA;190000;20013;16083;NA;NA;NA;NA;NA;NA;3797976
37;25603352;2620;12-08-2022;125;NA;433;43;2;1877;NA;NA;NA;NA;NA;180000;18940;15221;1977;NA;NA;NA;NA;NA;NA
38;89003043;8961;12-08-2022;112;143;855;32;2;1870;NA;1064;2762;133;NA;25000;2127;1699;NA;NA;NA;NA;NA;NA;394966
39;60204799;6051;12-08-2022;130;140;501;65;1;1827;NA;2164;9250;315;NA;65000;6880;5532;NA;NA;10;NA;NA;NA;1295000
40;60204967;6051;12-08-2022;171;174;2521;54;2;1900;NA;1612;8017;101;NA;70000;7406;5954;NA;NA;NA;NA;NA;NA;1394958
41;60403100;6051;12-08-2022;160;177;1116;53;1;1977;NA;2404;10452;903;NA;95000;9788;7870;1984;NA;7;NA;NA;NA;1850004
42;68702223;6823;12-08-2022;128;NA;362;22;3;1932;NA;1292;7773;100;NA;50000;5323;4291;NA;8;NA;NA;NA;NA;NA
43;68702270;6823;12-08-2022;87;95;292;32;2;1930;NA;1150;8947;122;NA;45000;4544;3663;NA;NA;NA;NA;NA;NA;849965
44;67701786;6823;12-08-2022;142;146;535;54;3;1909;NA;878;4966;135;NA;40000;3700;3052;NA;8;NA;NA;NA;NA;725036
45;68702092;6823;12-08-2022;155;163;752;75;1;1978;NA;1567;7331;114;NA;60000;6379;5142;2004;NA;NA;NA;NA;NA;1194953
46;68008378;6823;12-08-2022;167;219;957;87;3;1976;NA;1534;5137;128;NA;60000;5985;4825;NA;60;NA;NA;NA;NA;1125003
47;67701166;6823;12-08-2022;144;177;1937;41;1;1973;NA;2143;9034;1591;NA;80000;7817;6446;NA;75;11;NA;NA;NA;1599018
48;68702129;6823;12-08-2022;89;91;773;32;1;1961;NA;1171;9835;140;NA;45000;4796;3866;NA;NA;8;NA;NA;NA;894985
49;67701593;6823;12-08-2022;102;105;350;32;1;1913;NA;1120;4762;466;NA;25000;2821;2275;1998;NA;16;NA;NA;NA;500010
50;68702185;6823;12-08-2022;137;133;374;63;2;1910;NA;1379;5226;249;NA;35000;3740;3014;NA;NA;NA;NA;NA;NA;695058
51;68702179;6823;12-08-2022;232;235;20500;64;NA;1936;NA;2095;8489;309;NA;1,00E+05;10601;8547;1979;NA;NA;NA;NA;NA;1994915
52;95705262;9510;12-08-2022;144;168;695;42;1;1948;NA;1579;4018;501;NA;35000;3628;2899;1971;67;18;NA;NA;NA;675024
53;95705796;9510;12-08-2022;141;159;924;42;1;1974;NA;1546;4245;129;NA;35000;3617;2888;NA;NA;NA;NA;NA;NA;674955
54;95207798;9510;12-08-2022;78;112;508;32;2;1937;NA;1336;4866;266;NA;30000;2743;2243;NA;74;8;NA;NA;NA;544992
55;57206479;5970;12-08-2022;175;204;918;54;3;1911;NA;1422;4877;119;NA;50000;5314;4242;NA;10;9;NA;NA;NA;994908
56;57206437;5970;12-08-2022;144;157;2729;65;2;1799;NA;1258;5382;136;NA;45000;4511;3601;1970;NA;NA;NA;NA;NA;844974
57;57206401;5970;12-08-2022;235;325;6946;128;3;1924;NA;1808;8600;126;NA;140000;13582;11100;NA;18;NA;NA;NA;NA;2795000
58;57206327;5970;12-08-2022;73;70;155;32;2;1863;NA;1379;34214;146;NA;120000;12680;10125;1972;NA;8;NA;NA;NA;2394980
59;57206103;5970;12-08-2022;197;213;1301;54;2;1968;NA;2798;22512;134;NA;240000;23454;19172;1998;40;NA;NA;NA;NA;4795056
60;67701272;6818;12-08-2022;82;201;591;32;2;1960;NA;1409;1965;1382;NA;25000;2126;1713;NA;82;32;NA;NA;NA;394965
61;67701670;6818;12-08-2022;126;132;485;43;1;1900;NA;1420;4129;328;NA;30000;2696;2222;1966;NA;NA;NA;NA;NA;545028
62;67701669;6818;12-08-2022;158;163;682;74;2;1900;NA;1594;3344;329;NA;30000;3009;2427;1999;NA;8;NA;NA;NA;545072
63;68007196;6818;12-08-2022;201;202;1190;44;3;1932;NA;1647;4941;1031;NA;50000;5337;4302;NA;15;NA;NA;NA;NA;998082
64;67701762;6818;12-08-2022;114;136;767;44;3;1951;NA;1459;4596;157;NA;35000;3444;2779;NA;36;NA;NA;NA;NA;625056
65;68008353;6818;12-08-2022;121;131;816;53;3;1941;NA;1495;8588;153;NA;60000;6025;4861;2001;10;NA;NA;NA;NA;1125028
66;57503729;5792;12-08-2022;173;NA;1072;54;NA;2017;2020;2591;25983;85;NA;225000;23756;18959;NA;NA;NA;NA;NA;NA;NA
67;51105505;5792;12-08-2022;117;123;1174;43;1;1908;NA;1291;11341;191;NA;70000;7427;5931;NA;15;NA;NA;NA;NA;1394943
68;57503702;5792;12-08-2022;130;184;852;43;2;1967;NA;NA;NA;NA;NA;90000;9528;7603;NA;130;NA;NA;NA;NA;NA
69;93302938;9340;12-08-2022;58;84;368;21;2;1936;NA;1357;5060;409;NA;25000;2291;1824;NA;58;17;NA;NA;NA;425040
70;93303173;9340;12-08-2022;100;109;471;33;2;1934;NA;1158;4578;308;NA;25000;2704;2152;NA;NA;8;NA;NA;NA;499002
71;93802808;9340;12-08-2022;100;98;483;42;2;1933;NA;1213;6888;93;NA;35000;3628;2889;2007;NA;NA;NA;NA;NA;675024
72;47802121;4792;12-08-2022;360;191;13518;117;2;1875;NA;4535;32461;750;NA;310000;32835;26453;1979;NA;5;NA;NA;NA;6200051
73;47802569;4792;12-08-2022;120;119;823;32;1;1850;NA;1925;7143;92;NA;45000;4551;3665;NA;NA;NA;NA;NA;NA;850017
74;47802519;4792;12-08-2022;65;69;920;32;2;1775;NA;1259;4275;140;NA;25000;1571;1265;NA;NA;NA;NA;NA;NA;294975
75;47801318;4792;12-08-2022;226;NA;1412;53;1;1900;NA;2444;7500;556;NA;85000;9029;7273;1992;NA;15;NA;NA;NA;NA
76;47802328;4792;12-08-2022;102;107;1261;43;2;1939;NA;1678;9299;443;NA;50000;5330;4293;NA;NA;NA;NA;NA;NA;994993
77;47802545;4792;12-08-2022;113;120;549;43;2;1948;NA;1700;3542;133;NA;25000;2286;1841;NA;2;NA;NA;NA;NA;425040
78;47802520;4792;12-08-2022;58;60;4669;32;1;1825;NA;1129;9917;155;NA;30000;3216;2590;NA;NA;NA;NA;NA;NA;595020
79;47802566;4792;12-08-2022;99;119;1162;43;2;1939;NA;1719;11345;107;NA;70000;7180;5779;NA;NA;NA;NA;NA;NA;1350055
80;45503286;4550;12-08-2022;152;174;19714;43;2;1900;NA;2712;10316;620;NA;90000;8969;7324;1998;NA;NA;NA;NA;NA;1794984
81;45503340;4550;12-08-2022;173;276;948;64;3;1954;NA;3041;9040;542;NA;125000;11159;9370;1973;97;7;NA;NA;NA;2495040
82;55801721;5466;12-08-2022;183;181;905;75;2;1999;NA;2052;10470;442;NA;95000;10022;8031;NA;NA;5;NA;NA;NA;1895070
83;55002963;5466;12-08-2022;61;117;1315;44;2;1827;NA;1972;21325;291;NA;125000;12088;9917;NA;NA;NA;NA;NA;NA;2495025
84;55003198;5466;12-08-2022;160;159;753;54;2;1877;NA;1597;7516;156;NA;60000;6620;5309;NA;NA;7;NA;NA;NA;1195044
85;56103419;5610;12-08-2022;235;242;3200;75;1;1800;NA;2914;3285;140;NA;40000;4266;3408;1950;NA;NA;NA;NA;NA;794970
86;56103391;5610;12-08-2022;63;65;45;32;3;1800;NA;1427;9154;129;NA;30000;3220;2572;1985;11;NA;NA;NA;NA;595010
87;52507509;5610;12-08-2022;125;NA;170;42;2;1877;NA;1757;7160;233;NA;45000;4797;3830;1950;NA;10;NA;NA;NA;NA
88;56102988;5610;12-08-2022;162;168;713;54;1;1962;NA;1912;8185;472;NA;70000;6824;5581;NA;NA;7;NA;NA;NA;1375080
89;54101835;5610;12-08-2022;250;275;2585;76;2;1851;NA;2310;7255;363;NA;1,00E+05;10568;8438;1990;NA;5;NA;NA;NA;1995125
90;56103470;5610;12-08-2022;108;117;911;32;1;1970;NA;1579;6795;136;NA;40000;4269;3410;NA;NA;NA;NA;NA;NA;795015
91;56103426;5610;12-08-2022;126;134;1385;32;3;1925;NA;1519;5597;182;NA;40000;3739;3057;NA;6;NA;NA;NA;NA;749998
92;56101703;5610;12-08-2022;195;206;15000;42;4;1800;NA;4016;7257;1961;NA;75000;7919;6323;NA;NA;NA;NA;NA;NA;1494942
93;56103404;5610;12-08-2022;105;116;1031;32;2;1952;NA;1304;7974;154;NA;50000;4927;3937;2007;NA;NA;NA;NA;NA;924984
94;56103328;5610;12-08-2022;153;158;1101;64;2;1850;NA;2007;10095;185;NA;80000;8427;6728;NA;10;2;NA;NA;NA;1595010
95;56103068;5610;12-08-2022;123;124;681;43;2;1875;NA;1700;10444;400;NA;65000;7103;5677;1950;NA;19;NA;NA;NA;1295056
96;56102942;5610;12-08-2022;157;198;762;53;2;1964;NA;2231;10581;535;NA;105000;10455;8553;NA;130;5;NA;NA;NA;2095038
97;56103104;5610;12-08-2022;165;114;1000;74;1;1861;NA;1192;9605;446;NA;55000;5445;4453;NA;NA;8;NA;NA;NA;1094970
98;56103337;5610;12-08-2022;232;NA;816;107;3;1911;NA;2143;12047;121;NA;140000;14786;11817;1999;NA;NA;NA;NA;NA;NA
99;56103281;5610;12-08-2022;285;284;2131;65;2;1850;NA;NA;NA;NA;NA;105000;11124;8882;1996;NA;NA;NA;NA;NA;NA
100;56103478;5610;12-08-2022;228;252;2080;75;1;1974;NA;3068;10516;127;NA;135000;14026;11210;NA;32;2;NA;NA;NA;2650032
101;56103393;5610;12-08-2022;102;128;869;32;3;1946;NA;1207;4297;211;NA;30000;2784;2276;NA;60;NA;NA;NA;NA;550016
102;56103190;5610;12-08-2022;163;174;952;43;1;2012;2;NA;NA;NA;NA;165000;17490;13967;NA;NA;NA;NA;NA;NA;NA
103;56103296;5610;12-08-2022;114;135;995;32;2;1890;NA;1320;5148;98;NA;35000;3733;2980;NA;NA;NA;NA;NA;NA;694980
104;56103289;5610;12-08-2022;188;216;1204;64;2;1965;NA;2526;11551;92;NA;125000;13291;10622;NA;65;4;NA;NA;NA;2495016
105;56103176;5610;12-08-2022;188;NA;916;64;2;1963;NA;2336;7952;122;NA;75000;8140;6505;1973;NA;12;NA;NA;NA;NA
106;56103020;5610;12-08-2022;101;141;791;43;2;1965;NA;1682;6028;504;NA;45000;4517;3607;NA;101;11;NA;NA;NA;849948
107;64301400;6440;12-08-2022;151;170;1091;53;1;1849;NA;NA;NA;NA;NA;35000;3462;2778;NA;6;NA;NA;NA;NA;NA
108;64301829;6440;12-08-2022;108;NA;400;53;2;1882;NA;1757;8287;294;NA;45000;4781;3833;1996;NA;10;NA;NA;NA;NA
109;64202704;6440;12-08-2022;131;135;716;42;1;2001;NA;1852;14778;210;NA;1,00E+05;10582;8487;NA;NA;9;NA;NA;NA;1995030
110;64201709;6440;12-08-2022;136;179;884;54;2;1727;NA;1489;3324;1417;NA;30000;3215;2580;NA;NA;NA;NA;NA;NA;594996
