"","zip","Boligareal","Vgtet_areal","Grundareal","Rum_vrelser","Antal_plan","Bygger","Ejerudgifter_pr__md_","Pris_m_","Liggetid","Udbetaling","Brutto_ekskl__ejerudgifter","Netto_ekskl__ejerudgifter","Ombygget","Klder","Prisudvikling","pris"
"1",6200,93,101,408,65,2,1926,940,5396,413,30000,2678,2198,0,0,0,544996
"2",6200,108,146,681,31,2,1963,1885,8185,102,60000,5976,4909,1974,84,0,1195010
"3",6200,171,172,723,42,2,1927,1159,6948,188,60000,6384,5126,1990,0,27,1195056
"4",6200,153,132,163,42,3,1780,1381,7538,124,50000,5320,4269,1973,16,9,995016
"5",6200,136,202,1162,64,3,1953,1446,7896,143,80000,9232,7275,1965,87,3,1594992
"6",6200,185,216,712,54,2,1928,1325,6921,172,75000,8658,6823,0,0,6,1494936
"7",9440,202,200,5500,53,2,1887,1187,1995,2093,25000,2146,1717,0,0,19,399000
"8",9440,180,223,736,54,2,1900,1814,2220,147,25000,2674,2137,0,0,23,495060
"9",3720,105,107,261,42,3,1914,1381,6495,98,35000,3726,2975,1980,10,0,694965
"10",9620,95,145,505,32,3,1942,1205,3434,477,25000,2497,2051,0,65,0,497930
"11",9620,138,145,895,54,1,1963,1342,2745,623,25000,2151,1729,0,0,20,398025
"12",9600,83,119,704,32,2,1960,1062,5874,794,35000,3903,3107,0,83,10,699006
"13",9600,112,178,3142,43,3,1925,1361,3904,1654,35000,3749,2984,1977,6,18,694912
"14",5560,188,220,10000,64,1,1862,1629,7705,129,85000,8244,6741,2006,0,0,1695100
"15",5560,232,242,1017,54,1,1978,2580,9897,136,120000,11573,9463,2004,50,0,2395074
"16",5560,229,256,3655,74,1,2002,2933,14043,86,180000,20716,16239,2010,21,3,3595008
"17",5560,116,126,600,43,1,1963,1245,6310,301,40000,3905,3202,1972,0,11,795060
"18",5560,165,189,714,75,1,1964,1751,10026,161,95000,10062,8041,0,50,5,1894914
"19",5320,287,291,1346,1210,2,1900,2634,13729,449,0,21285,17155,2006,0,11,3995139
"20",5320,150,146,356,65,2,2001,1698,12295,138,90000,8879,7317,0,0,5,1795070
"21",5320,143,148,820,54,1,1965,2129,14831,157,110000,11701,9430,1977,0,8,2194988
"22",6753,205,223,5586,66,1,1840,1866,5601,164,65000,6345,5235,1976,0,0,1249023
"23",6753,112,125,1467,43,3,1959,1761,6384,318,40000,4310,3477,0,32,6,798000
"24",6753,130,142,805,44,1,1977,1495,5951,93,45000,4501,3631,0,0,11,845042
"25",6753,128,133,711,43,1,1963,1429,6353,525,45000,4297,3544,0,0,12,844949
"26",6753,113,116,780,43,1,1973,1533,6897,283,40000,4306,3473,0,0,1,800052
"27",6753,96,108,962,32,2,1900,1394,3657,359,25000,1955,1611,0,0,0,394956
"28",6534,280,306,2053,75,1,1940,1675,2925,409,45000,4229,3517,1985,66,10,895050
"29",2620,108,111,446,32,1,1986,4416,34216,93,190000,20013,16083,0,0,0,3797976
"30",8961,112,143,855,32,2,1870,1064,2762,133,25000,2127,1699,0,0,0,394966
"31",6051,130,140,501,65,1,1827,2164,9250,315,65000,6880,5532,0,0,10,1295000
"32",6051,171,174,2521,54,2,1900,1612,8017,101,70000,7406,5954,0,0,0,1394958
"33",6051,160,177,1116,53,1,1977,2404,10452,903,95000,9788,7870,1984,0,7,1850004
"34",6823,87,95,292,32,2,1930,1150,8947,122,45000,4544,3663,0,0,0,849965
"35",6823,142,146,535,54,3,1909,878,4966,135,40000,3700,3052,0,8,0,725036
