"","zip","Boligareal","Vgtet_areal","Grundareal","Rum_vrelser","Antal_plan","Bygger","Ejerudgifter_pr__md_","Pris_m_","Liggetid","Udbetaling","Brutto_ekskl__ejerudgifter","Netto_ekskl__ejerudgifter","Ombygget","Klder","Prisudvikling","pris"
"1",6200,93,101,408,65,2,1926,940,5396,413,30000,2678,2198,0,0,0,544996
"2",6200,106,115,733,32,1,1967,NA,NA,0,35000,3731,2995,0,0,0,NA
"3",6200,108,146,681,31,2,1963,1885,8185,102,60000,5976,4909,1974,84,0,1195010
"4",6200,171,172,723,42,2,1927,1159,6948,188,60000,6384,5126,1990,0,27,1195056
"5",6200,153,132,163,42,3,1780,1381,7538,124,50000,5320,4269,1973,16,9,995016
"6",6200,170,183,1888,64,NA,1968,1581,6530,98,60000,5964,4898,0,0,0,1194990
"7",6200,136,202,1162,64,3,1953,1446,7896,143,80000,9232,7275,1965,87,3,1594992
"8",6200,153,167,872,53,3,1950,NA,NA,0,40000,3858,3095,1979,5,0,NA
"9",6200,185,216,712,54,2,1928,1325,6921,172,75000,8658,6823,0,0,6,1494936
"10",9440,202,200,5500,53,2,1887,1187,1995,2093,25000,2146,1717,0,0,19,399000
"11",9440,180,223,736,54,2,1900,1814,2220,147,25000,2674,2137,0,0,23,495060
"12",3720,105,107,261,42,3,1914,1381,6495,98,35000,3726,2975,1980,10,0,694965
"13",9620,95,145,505,32,3,1942,1205,3434,477,25000,2497,2051,0,65,0,497930
"14",9620,138,145,895,54,1,1963,1342,2745,623,25000,2151,1729,0,0,20,398025
"15",9600,83,119,704,32,2,1960,1062,5874,794,35000,3903,3107,0,83,10,699006
"16",9600,188,194,2088,53,2,1905,NA,NA,0,25000,2664,2118,1985,0,0,NA
"17",9600,112,178,3142,43,3,1925,1361,3904,1654,35000,3749,2984,1977,6,18,694912
"18",5560,188,220,10000,64,1,1862,1629,7705,129,85000,8244,6741,2006,0,0,1695100
"19",5560,232,242,1017,54,1,1978,2580,9897,136,120000,11573,9463,2004,50,0,2395074
"20",5560,77,90,263,32,3,1880,NA,NA,0,25000,2674,2136,0,30,0,NA
"21",5560,229,256,3655,74,1,2002,2933,14043,86,180000,20716,16239,2010,21,3,3595008
"22",5560,164,NA,735,43,2,1964,1681,6067,105,50000,4954,4051,1975,0,0,NA
"23",5560,116,126,600,43,1,1963,1245,6310,301,40000,3905,3202,1972,0,11,795060
"24",5560,165,189,714,75,1,1964,1751,10026,161,95000,10062,8041,0,50,5,1894914
"25",5320,287,291,1346,1210,2,1900,2634,13729,449,0,21285,17155,2006,0,11,3995139
"26",5320,150,146,356,65,2,2001,1698,12295,138,90000,8879,7317,0,0,5,1795070
"27",5320,143,148,820,54,1,1965,2129,14831,157,110000,11701,9430,1977,0,8,2194988
"28",6753,205,223,5586,66,1,1840,1866,5601,164,65000,6345,5235,1976,0,0,1249023
"29",6753,112,125,1467,43,3,1959,1761,6384,318,40000,4310,3477,0,32,6,798000
"30",6753,130,142,805,44,1,1977,1495,5951,93,45000,4501,3631,0,0,11,845042
