"","zip","Boligareal","Vgtet_areal","Grundareal","rum","vaer","Antal_plan","Bygger","Ejerudgifter_pr__md_","Pris_m_","Liggetid","Udbetaling","Brutto_ekskl__ejerudgifter","Netto_ekskl__ejerudgifter","Ombygget","Klder","Prisudvikling","pris","nedslag"
"1",6200,93,101,408,6,5,2,1926,940,5396,413,30000,2678,2198,0,0,0,544996,0
"2",6200,108,146,681,3,1,2,1963,1885,8185,102,60000,5976,4909,1974,84,0,1195010,0
"3",6200,171,172,723,4,2,2,1927,1159,6948,188,60000,6384,5126,1990,0,27,1195056,442007
"4",6200,153,132,163,4,2,3,1780,1381,7538,124,50000,5320,4269,1973,16,9,995016,98408
"5",6200,136,202,1162,6,4,3,1953,1446,7896,143,80000,9232,7275,1965,87,3,1594992,49330
"6",6200,185,216,712,5,4,2,1928,1325,6921,172,75000,8658,6823,0,0,6,1494936,95421
"7",9440,180,223,736,5,4,2,1900,1814,2220,147,25000,2674,2137,0,0,23,495060,147875
"8",3720,105,107,261,4,2,3,1914,1381,6495,98,35000,3726,2975,1980,10,0,694965,0
"9",9620,95,145,505,3,2,3,1942,1205,3434,477,25000,2497,2051,0,65,0,497930,0
"10",9620,138,145,895,5,4,1,1963,1342,2745,623,25000,2151,1729,0,0,20,398025,99506
"11",9600,83,119,704,3,2,2,1960,1062,5874,794,35000,3903,3107,0,83,10,699006,77667
"12",5560,232,242,1017,5,4,1,1978,2580,9897,136,120000,11573,9463,2004,50,0,2395074,0
"13",5560,116,126,600,4,3,1,1963,1245,6310,301,40000,3905,3202,1972,0,11,795060,98266
"14",5560,165,189,714,7,5,1,1964,1751,10026,161,95000,10062,8041,0,50,5,1894914,99732
"15",5320,287,291,1346,12,10,2,1900,2634,13729,449,0,21285,17155,2006,0,11,3995139,493781
"16",5320,150,146,356,6,5,2,2001,1698,12295,138,90000,8879,7317,0,0,5,1795070,94477
"17",5320,143,148,820,5,4,1,1965,2129,14831,157,110000,11701,9430,1977,0,8,2194988,190869
